"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
"Atp6v0a2" 0.0907911802853437 0.1712 0.135972461273666 0.159036144578313 0.208672086720867 0.103703703703704 0.226720647773279 0.0882352941176471 0.0520833333333333 0.151260504201681 0.105882352941176 0.0227272727272727
"Dlg1" 0.121919584954604 0.2352 0.146299483648881 0.197590361445783 0.222222222222222 0.196296296296296 0.165991902834008 0.15546218487395 0.03125 0.201680672268908 0.164705882352941 0.0909090909090909
"Txlna" 0.103761348897536 0.184 0.130808950086059 0.156626506024096 0.176151761517615 0.174074074074074 0.182186234817814 0.117647058823529 0.078125 0.126050420168067 0.2 0.227272727272727
"Higd1b" 0 0 0 0 0 0 0.0242914979757085 0 0.03125 0 0.0352941176470588 0
"Inpp4a" 1.69390402075227 1.0496 0.931153184165232 1.00481927710843 1.04607046070461 0.77037037037037 0.538461538461538 1.1890756302521 1.140625 0.647058823529412 0.905882352941176 1.20454545454545
"Ralgps1" 0.00778210116731518 0.0352 0.0327022375215146 0.0313253012048193 0.018970189701897 0.0148148148148148 0.0161943319838057 0.0294117647058824 0.00520833333333333 0.0336134453781513 0.0352941176470588 0.0227272727272727
"Olfr535" 0.0012970168612192 0 0.00344234079173838 0.00240963855421687 0.00813008130081301 0 0 0 0.0104166666666667 0 0 0
"Gm7670" 0.00518806744487678 0.0064 0.00344234079173838 0.00240963855421687 0.002710027100271 0.00740740740740741 0.00809716599190283 0 0 0.0252100840336134 0.0117647058823529 0
"Ccdc114" 0.0466926070038911 0.1184 0.108433734939759 0.110843373493976 0.151761517615176 0.148148148148148 0.109311740890688 0.113445378151261 0.00520833333333333 0.142857142857143 0.0470588235294118 0.0454545454545455
"Eml2" 0.347600518806744 0.5424 0.499139414802065 0.503614457831325 0.636856368563686 0.459259259259259 0.206477732793522 0.504201680672269 0.375 0.386554621848739 0.4 0.0681818181818182
"Pfdn6" 0.817120622568093 0.7792 0.791738382099828 0.744578313253012 0.710027100271003 0.803703703703704 0.603238866396761 0.592436974789916 0.770833333333333 0.798319327731092 0.670588235294118 0.840909090909091
"Cep128" 0.00389105058365759 0.0176 0.0172117039586919 0.0265060240963855 0.018970189701897 0.0296296296296296 0.0404858299595142 0.0210084033613445 0 0.0336134453781513 0.0588235294117647 0
"Nek1" 0.0428015564202335 0.1136 0.0963855421686747 0.106024096385542 0.0975609756097561 0.0777777777777778 0.0769230769230769 0.0630252100840336 0.0364583333333333 0.0840336134453781 0.117647058823529 0.0454545454545455
"Armc2" 0.0311284046692607 0.0736 0.0533562822719449 0.0626506024096385 0.035230352303523 0.0481481481481481 0.0364372469635627 0.046218487394958 0.015625 0.0672268907563025 0.117647058823529 0
"Ccar2" 0.0363164721141375 0.0512 0.0688468158347676 0.0650602409638554 0.0596205962059621 0.0444444444444444 0.0404858299595142 0.0630252100840336 0.0364583333333333 0.0672268907563025 0.0470588235294118 0
"Pex12" 0.0246433203631647 0.0704 0.0516351118760757 0.0650602409638554 0.037940379403794 0.0740740740740741 0.0323886639676113 0.046218487394958 0.0260416666666667 0.0336134453781513 0.0823529411764706 0.0227272727272727
"Dmbx1" 0.0012970168612192 0.0032 0.00516351118760757 0.00240963855421687 0 0 0.00404858299595142 0 0 0 0 0
"Phf3" 0.146562905317769 0.2672 0.230636833046472 0.257831325301205 0.235772357723577 0.222222222222222 0.1417004048583 0.189075630252101 0.145833333333333 0.142857142857143 0.223529411764706 0
"Sox8" 0.0259403372243839 0.0272 0.036144578313253 0.0337349397590361 0.037940379403794 0.0666666666666667 0.048582995951417 0.0336134453781513 0.00520833333333333 0.0336134453781513 0.0352941176470588 0
