"0" "1" "2" "3" "4" "5" "6" "7"
"Ube2m" 0.6 0.688679245283019 0.524271844660194 0.637362637362637 0.48780487804878 0.686274509803922 0.51063829787234 0.657894736842105
"2610002M06Rik" 0.0153846153846154 0.0849056603773585 0.12621359223301 0.0549450549450549 0.0853658536585366 0.176470588235294 0.0425531914893617 0
"Srsf11" 0.915384615384615 0.69811320754717 0.533980582524272 0.604395604395604 0.731707317073171 0.784313725490196 0.702127659574468 0.815789473684211
"Atp5h" 4.91538461538462 4.22641509433962 5.94174757281553 3.94505494505494 2.97560975609756 5.50980392156863 4.85106382978723 4.68421052631579
"Cd34" 0.161538461538462 0.764150943396226 0.0485436893203883 0.032967032967033 0.353658536585366 0.176470588235294 1.95744680851064 0
"Ubn2" 0.0307692307692308 0.235849056603774 0.233009708737864 0.10989010989011 0.24390243902439 0.176470588235294 0.127659574468085 0
"Atp11b" 0.00769230769230769 0.113207547169811 0.106796116504854 0.10989010989011 0.0731707317073171 0.0784313725490196 0.106382978723404 0
"Arhgef39" 0 0.00943396226415094 0.029126213592233 0.032967032967033 0 0.0392156862745098 0 0
"CAAA01147332.1" 0 0.0377358490566038 0.0388349514563107 0.0769230769230769 0.024390243902439 0 0.0212765957446809 0
"Drosha" 0.0153846153846154 0.0943396226415094 0.0776699029126214 0.0659340659340659 0.0853658536585366 0.117647058823529 0.106382978723404 0
"Pign" 0.0769230769230769 0.0754716981132075 0.0194174757281553 0.10989010989011 0.0365853658536585 0.0392156862745098 0.0638297872340425 0
"Mtx3" 0 0.0283018867924528 0.0388349514563107 0.021978021978022 0.0365853658536585 0 0 0
"Tgfbrap1" 0 0.0566037735849057 0.058252427184466 0.0879120879120879 0.0365853658536585 0.0588235294117647 0.0638297872340425 0
"Csf2ra" 0.0538461538461538 0.0754716981132075 0.0485436893203883 1.69230769230769 0.0731707317073171 0.0392156862745098 0 0.0526315789473684
"Acp2" 0.0769230769230769 0.207547169811321 0.135922330097087 0.32967032967033 0.195121951219512 0.117647058823529 0.212765957446808 0.0263157894736842
"Ttll1" 0.0538461538461538 0.216981132075472 0.223300970873786 0.120879120879121 0.146341463414634 0.235294117647059 0.0212765957446809 0
"Ank3" 0.0692307692307692 0.0471698113207547 0.00970873786407767 0.021978021978022 0.0487804878048781 0.0784313725490196 0.0212765957446809 0.0789473684210526
"Ythdf3" 0.0153846153846154 0.235849056603774 0.194174757281553 0.153846153846154 0.207317073170732 0.176470588235294 0.0851063829787234 0
